Date,Open,High,Low,Close,Adj Close,Volume
20-09-18,135.869995,138.089996,135.720001,137.289993,133.555542,639700
21-09-18,137.289993,137.919998,136.179993,137.470001,133.730652,406300
24-09-18,137.470001,139.389999,137.190002,139,135.21904,422900
25-09-18,140.020004,140.300003,138.449997,139.039993,135.25795,595400
26-09-18,139.839996,142.520004,139.779999,140.789993,136.960342,569800
27-09-18,140.960007,141.470001,139.990005,140.190002,136.376678,637900
28-09-18,137.259995,139.119995,136.460007,136.910004,133.185898,721200
01-10-18,139.669998,139.809998,137.149994,137.770004,134.022522,435700
02-10-18,137.220001,138.210007,136.279999,137.570007,133.827927,681900
03-10-18,137.369995,138.173004,135.619995,135.809998,132.115814,392700
04-10-18,136.270004,136.389999,131.380005,133.059998,129.440613,794600
05-10-18,131.710007,133.440002,131.550003,132.279999,128.681839,506100
08-10-18,128.809998,130.100006,128.304993,129.679993,126.152557,886900
09-10-18,127.949997,129.600006,127.379997,128.949997,125.442413,533600
10-10-18,123.779999,124.809998,117.629997,117.629997,114.430328,1773500
11-10-18,117.449997,118.059998,114.75,115.540001,112.397179,1526500
12-10-18,117.620003,118.309998,114.580002,116.300003,113.136505,741600
15-10-18,114.68,116.080002,114.370003,115.010002,111.881599,650500
16-10-18,122.800003,123.059998,121.540001,121.75,118.438263,1402300
17-10-18,119.480003,119.629997,117.599998,118.93,115.694962,940800
18-10-18,116.449997,116.709999,113.93,114.25,111.142265,782200
19-10-18,115.919998,117.93,115.760002,116.510002,113.340797,714200
22-10-18,115.220001,116.610001,114.559998,116.279999,113.11705,419300
23-10-18,112.970001,116.050003,112.330002,115.279999,112.144257,1541800
24-10-18,113.419998,113.949997,111.712997,111.790001,108.749176,1187400
25-10-18,114.110001,116.620003,112.900002,115.379997,112.241524,484700
26-10-18,113.290001,117.519997,112.970001,116.169998,113.01004,904900
29-10-18,117.779999,118.449997,113.559998,115.019997,111.891327,732200
30-10-18,114.919998,116.370003,114.400002,116.279999,113.11705,394300
31-10-18,117.790001,119,116.639999,117.110001,113.924469,435800
01-11-18,120.029999,120.400002,118.129997,119.980003,116.716408,1091200
02-11-18,120.239998,120.948997,117.190002,119.529999,116.278648,679500
05-11-18,116.419998,118.779999,115.809998,117.580002,114.381691,1797100
06-11-18,115.470001,116.370003,114.869003,115.989998,112.834938,785000
07-11-18,115.940002,116.93,115.639999,116.07,112.912766,775900
08-11-18,115.949997,116.709999,113.589996,114.199997,111.093628,579400
09-11-18,111.75,112.360001,108.831001,110.07,107.075966,1458500
12-11-18,108.589996,108.760002,106.260002,106.419998,103.525246,742200
13-11-18,108.919998,111.589996,108.769997,109.610001,106.628487,579000
14-11-18,112.57,113.139999,110.059998,110.800003,107.78611,428700
15-11-18,109.75,112.360001,108.709999,111.800003,108.758911,446800
16-11-18,110.32,111.459999,110.046997,110.739998,107.727745,174900
19-11-18,110.5,110.540001,108.639999,108.82,105.85997,357900
20-11-18,105.760002,107.040001,104.970001,105.239998,102.377342,630000
21-11-18,105.400002,107.790001,105.379997,106.730003,103.826828,293400
23-11-18,106.709999,107.660004,106.660004,106.660004,103.758728,180700
26-11-18,107.989998,109.389999,107.790001,109.220001,106.249092,301500
27-11-18,106.989998,107.290001,103.980003,104.769997,101.920135,1069600
28-11-18,102.639999,108.410004,102.370003,108.330002,105.383301,1035600
29-11-18,108.269997,109.830002,108.059998,109.209999,106.239357,541200
30-11-18,108.5,110.010002,108.419998,109.599998,106.618752,563500
03-12-18,111.809998,112.5,111.080002,111.68,108.642174,493400
04-12-18,111.599998,112,108.080002,108.370003,105.422218,520800
06-12-18,106.220001,107.639999,105.309998,107.529999,104.605049,556900
07-12-18,108.309998,109.18,104.260002,104.839996,101.988235,395400
10-12-18,105.239998,106.150002,104.029999,104.93,102.07579,365200
11-12-18,107.529999,107.565002,104.580002,104.959999,102.104965,278800
12-12-18,105.900002,106.790001,105.360001,105.419998,102.552452,526900
13-12-18,105.809998,105.93,103.75,104.099998,101.268356,483400
14-12-18,102.120003,102.830002,101.099998,101.489998,98.729355,622800
17-12-18,100.790001,101.709999,99.485001,99.940002,97.221527,653900
18-12-18,101.760002,102.220001,100.760002,100.800003,98.058128,545300
19-12-18,104.190002,106.290001,101.839996,102.43,99.643784,810300
20-12-18,103.110001,103.639999,100.389999,101.519997,98.758545,593100
21-12-18,100.980003,101.349998,97.800003,98.160004,95.489937,427400
24-12-18,97.400002,97.873001,95.790001,95.959999,93.34977,276400
